Gene
AGA1
AGP3
AI2
ASG1
COS2
COS4
COS6
COS7
COS8
CYC8
DAN4
DOG1
DSF1
EFT1
EGT2
FEX2
FIT1
FLO1
FLO10
FLO5
FLO9
GEX2
HKR1
HPF1
HXT11
HXT13
HXT17
HXT7
HXT9
IMA2
IMD2
IMH1
MAL13
MAL31
MAL33
MAN2
MST27
MTL1
NUM1
NUP159
PAU19
PAU20
PAU24
PAU4
PDR3
PEX30
PIR3
PRM9
RIB4
RQC2
SAM3
SCW10
SNZ2
SSA1
SSA2
SUC2
TBS1
THI5
TIF1
TIR1
TPO2
VBA3
VHS3
YAL069W
YBL108W
YBL109W
YBL113C
YBR012C
YBR292C
YCR108C
YDR544C
YEL075W-A
YEL076C-A
YEL077C
YEL077W-A
YER188C-A
YFL067W
YGL194C-A
YGL258W-A
YGR069W
YHL048C-A
YHL050C
YHL050W-A
YHR217C
YIL059C
YIL060W
YIR040C
YJL225C
YJR162C
YKL223W
YKL225W
YKR040C
YLL065W
YLL066W-B
YLR460C
YMR290W-A
YNL018C
YNL034W
YNL179C
YNL337W
YNL338W
YNR065C
YOL166W-A
YOR053W
YPL025C
YPR002C-A
YPR003C
